"filename", "language", "HTML", "JavaScript", "PostCSS", "PHP", "XML", "comment", "blank", "total"
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\account.html", "HTML", -40, 0, 0, 0, 0, -3, 0, -43
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\administrator.html", "HTML", -100, 0, 0, 0, 0, 0, 0, -100
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\account.css", "PostCSS", 0, 0, 3, 0, 0, 0, 0, 3
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\css\common.css", "PostCSS", 0, 0, 6, 0, 0, 0, 0, 6
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\accountInfo.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\accountMedals.js", "JavaScript", 0, 34, 0, 0, 0, 2, 17, 53
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\addOrder.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\administatorTables.js", "JavaScript", 0, 111, 0, 0, 0, 0, 43, 154
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\administratorChangeForms.js", "JavaScript", 0, 78, 0, 0, 0, 0, 50, 128
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\1.svg", "XML", 0, 0, 0, 0, 4, -1, 0, 3
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\10.svg", "XML", 0, 0, 0, 0, 2, -1, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\11.svg", "XML", 0, 0, 0, 0, 0, -1, 0, -1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\12.svg", "XML", 0, 0, 0, 0, 13, -1, 0, 12
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\13.svg", "XML", 0, 0, 0, 0, 11, -1, 0, 10
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\14.svg", "XML", 0, 0, 0, 0, 14, 0, 1, 15
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\15.svg", "XML", 0, 0, 0, 0, 14, 0, 1, 15
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\2.svg", "XML", 0, 0, 0, 0, 7, -1, 0, 6
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\3.svg", "XML", 0, 0, 0, 0, -2, -1, 0, -3
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\4.svg", "XML", 0, 0, 0, 0, 8, -1, 0, 7
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\5.svg", "XML", 0, 0, 0, 0, 13, -1, 0, 12
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\6.svg", "XML", 0, 0, 0, 0, -2, -1, 0, -3
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\7.svg", "XML", 0, 0, 0, 0, -2, -1, 0, -3
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\8.svg", "XML", 0, 0, 0, 0, 3, -1, 0, 2
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\9.svg", "XML", 0, 0, 0, 0, 2, -1, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medal-solid1.svg", "XML", 0, 0, 0, 0, -14, 0, -1, -15
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medal-solid2.svg", "XML", 0, 0, 0, 0, -14, 0, -1, -15
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medals_level1.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medals_level2.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medals_level3.svg", "XML", 0, 0, 0, 0, -22, 0, -1, -23
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\star_alternative.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\star2.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\bandcamp.svg", "XML", 0, 0, 0, 0, 6, 1, 1, 8
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square-github.svg", "XML", 0, 0, 0, 0, 18, 1, 1, 20
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square-instagram.svg", "XML", 0, 0, 0, 0, 18, 1, 1, 20
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square-youtube.svg", "XML", 0, 0, 0, 0, 9, 1, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square_vk.svg", "XML", 0, 0, 0, 0, 9, 1, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\telegram.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\allOrdersInfo.php", "PHP", 0, 0, 0, 19, 0, 0, 14, 33
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\allUsersInfo.php", "PHP", 0, 0, 0, 19, 0, 0, 14, 33
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\changeOrderStatus.php", "PHP", 0, 0, 0, 17, 0, 0, 11, 28
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\changeUserRole.php", "PHP", 0, 0, 0, 17, 0, 0, 11, 28
"Total", "-", -140, 225, 9, 72, 90, -9, 162, 409